,fecd,bm25,dtfipf
10,"{'s/n': 1.0, 'n': 16, '#of0': 0, '#of1': 16, '#of0.5': 0, 'pof0': 0.0, 'pof1': 1.0, 'pof0.5': 0.0, 'section': '4.5'}","{'s/n': 0.65, 'n': 20, '#of0': 7, '#of1': 13, '#of0.5': 0, 'pof0': 0.35, 'pof1': 0.65, 'pof0.5': 0.0, 'section': '4.5'}","{'s/n': 0.8214285714285714, 'n': 28, '#of0': 5, '#of1': 23, '#of0.5': 0, 'pof0': 0.17857142857142858, 'pof1': 0.8214285714285714, 'pof0.5': 0.0, 'section': '4.5'}"
11,"{'s/n': 1.0, 'n': 10, '#of0': 0, '#of1': 10, '#of0.5': 0, 'pof0': 0.0, 'pof1': 1.0, 'pof0.5': 0.0, 'section': '4.6'}","{'s/n': 0.0, 'n': 16, '#of0': 16, '#of1': 0, '#of0.5': 0, 'pof0': 1.0, 'pof1': 0.0, 'pof0.5': 0.0, 'section': '4.6'}","{'s/n': 0.0, 'n': 22, '#of0': 22, '#of1': 0, '#of0.5': 0, 'pof0': 1.0, 'pof1': 0.0, 'pof0.5': 0.0, 'section': '4.6'}"
12,"{'s/n': 0.9375, 'n': 8, '#of0': 0, '#of1': 7, '#of0.5': 1, 'pof0': 0.0, 'pof1': 0.875, 'pof0.5': 0.125, 'section': '4.7'}","{'s/n': 0.0, 'n': 14, '#of0': 14, '#of1': 0, '#of0.5': 0, 'pof0': 1.0, 'pof1': 0.0, 'pof0.5': 0.0, 'section': '4.7'}","{'s/n': 0.5, 'n': 20, '#of0': 10, '#of1': 10, '#of0.5': 0, 'pof0': 0.5, 'pof1': 0.5, 'pof0.5': 0.0, 'section': '4.7'}"
13,"{'s/n': 0.9, 'n': 10, '#of0': 1, '#of1': 9, '#of0.5': 0, 'pof0': 0.1, 'pof1': 0.9, 'pof0.5': 0.0, 'section': '4.8'}","{'s/n': 0.2222222222222222, 'n': 18, '#of0': 14, '#of1': 4, '#of0.5': 0, 'pof0': 0.7777777777777778, 'pof1': 0.2222222222222222, 'pof0.5': 0.0, 'section': '4.8'}","{'s/n': 0.3333333333333333, 'n': 24, '#of0': 16, '#of1': 8, '#of0.5': 0, 'pof0': 0.6666666666666666, 'pof1': 0.3333333333333333, 'pof0.5': 0.0, 'section': '4.8'}"
14,"{'s/n': 0.42857142857142855, 'n': 7, '#of0': 3, '#of1': 2, '#of0.5': 2, 'pof0': 0.42857142857142855, 'pof1': 0.2857142857142857, 'pof0.5': 0.2857142857142857, 'section': '4.9'}","{'s/n': 0.25, 'n': 14, '#of0': 10, '#of1': 3, '#of0.5': 1, 'pof0': 0.7142857142857143, 'pof1': 0.21428571428571427, 'pof0.5': 0.07142857142857142, 'section': '4.9'}","{'s/n': 0.2857142857142857, 'n': 21, '#of0': 15, '#of1': 6, '#of0.5': 0, 'pof0': 0.7142857142857143, 'pof1': 0.2857142857142857, 'pof0.5': 0.0, 'section': '4.9'}"
15,"{'s/n': 0.7307692307692307, 'n': 13, '#of0': 2, '#of1': 8, '#of0.5': 3, 'pof0': 0.15384615384615385, 'pof1': 0.6153846153846154, 'pof0.5': 0.23076923076923078, 'section': '4.10'}","{'s/n': 0.46875, 'n': 16, '#of0': 6, '#of1': 5, '#of0.5': 5, 'pof0': 0.375, 'pof1': 0.3125, 'pof0.5': 0.3125, 'section': '4.10'}","{'s/n': 0.7291666666666666, 'n': 24, '#of0': 6, '#of1': 17, '#of0.5': 1, 'pof0': 0.25, 'pof1': 0.7083333333333334, 'pof0.5': 0.041666666666666664, 'section': '4.10'}"
16,"{'s/n': 0.5869565217391305, 'n': 46, '#of0': 11, '#of1': 19, '#of0.5': 16, 'pof0': 0.2391304347826087, 'pof1': 0.41304347826086957, 'pof0.5': 0.34782608695652173, 'section': '4.12'}","{'s/n': 0.17777777777777778, 'n': 45, '#of0': 33, '#of1': 4, '#of0.5': 8, 'pof0': 0.7333333333333333, 'pof1': 0.08888888888888889, 'pof0.5': 0.17777777777777778, 'section': '4.12'}","{'s/n': 0.01694915254237288, 'n': 59, '#of0': 58, '#of1': 1, '#of0.5': 0, 'pof0': 0.9830508474576272, 'pof1': 0.01694915254237288, 'pof0.5': 0.0, 'section': '4.12'}"
17,"{'s/n': 1.0, 'n': 10, '#of0': 0, '#of1': 10, '#of0.5': 0, 'pof0': 0.0, 'pof1': 1.0, 'pof0.5': 0.0, 'section': '4.13'}","{'s/n': 0.7307692307692307, 'n': 13, '#of0': 3, '#of1': 9, '#of0.5': 1, 'pof0': 0.23076923076923078, 'pof1': 0.6923076923076923, 'pof0.5': 0.07692307692307693, 'section': '4.13'}","{'s/n': 0.2894736842105263, 'n': 19, '#of0': 13, '#of1': 5, '#of0.5': 1, 'pof0': 0.6842105263157895, 'pof1': 0.2631578947368421, 'pof0.5': 0.05263157894736842, 'section': '4.13'}"
18,"{'s/n': 0.7222222222222222, 'n': 9, '#of0': 1, '#of1': 5, '#of0.5': 3, 'pof0': 0.1111111111111111, 'pof1': 0.5555555555555556, 'pof0.5': 0.3333333333333333, 'section': '4.15'}","{'s/n': 0.22727272727272727, 'n': 11, '#of0': 8, '#of1': 2, '#of0.5': 1, 'pof0': 0.7272727272727273, 'pof1': 0.18181818181818182, 'pof0.5': 0.09090909090909091, 'section': '4.15'}","{'s/n': 0.0, 'n': 11, '#of0': 11, '#of1': 0, '#of0.5': 0, 'pof0': 1.0, 'pof1': 0.0, 'pof0.5': 0.0, 'section': '4.15'}"
19,"{'s/n': 0.6923076923076923, 'n': 13, '#of0': 2, '#of1': 7, '#of0.5': 4, 'pof0': 0.15384615384615385, 'pof1': 0.5384615384615384, 'pof0.5': 0.3076923076923077, 'section': '4.17'}","{'s/n': 0.016129032258064516, 'n': 31, '#of0': 30, '#of1': 0, '#of0.5': 1, 'pof0': 0.967741935483871, 'pof1': 0.0, 'pof0.5': 0.03225806451612903, 'section': '4.17'}","{'s/n': 0.22, 'n': 25, '#of0': 19, '#of1': 5, '#of0.5': 1, 'pof0': 0.76, 'pof1': 0.2, 'pof0.5': 0.04, 'section': '4.17'}"
20,"{'s/n': 0.47058823529411764, 'n': 17, '#of0': 8, '#of1': 7, '#of0.5': 2, 'pof0': 0.47058823529411764, 'pof1': 0.4117647058823529, 'pof0.5': 0.11764705882352941, 'section': '4.18'}","{'s/n': 0.3888888888888889, 'n': 18, '#of0': 11, '#of1': 7, '#of0.5': 0, 'pof0': 0.6111111111111112, 'pof1': 0.3888888888888889, 'pof0.5': 0.0, 'section': '4.18'}","{'s/n': 0.06896551724137931, 'n': 29, '#of0': 27, '#of1': 2, '#of0.5': 0, 'pof0': 0.9310344827586207, 'pof1': 0.06896551724137931, 'pof0.5': 0.0, 'section': '4.18'}"
21,"{'s/n': 0.5833333333333334, 'n': 12, '#of0': 4, '#of1': 6, '#of0.5': 2, 'pof0': 0.3333333333333333, 'pof1': 0.5, 'pof0.5': 0.16666666666666666, 'section': '4.21'}","{'s/n': 0.5, 'n': 15, '#of0': 6, '#of1': 6, '#of0.5': 3, 'pof0': 0.4, 'pof1': 0.4, 'pof0.5': 0.2, 'section': '4.21'}","{'s/n': 0.14285714285714285, 'n': 21, '#of0': 18, '#of1': 3, '#of0.5': 0, 'pof0': 0.8571428571428571, 'pof1': 0.14285714285714285, 'pof0.5': 0.0, 'section': '4.21'}"
22,"{'s/n': 0.8333333333333334, 'n': 9, '#of0': 1, '#of1': 7, '#of0.5': 1, 'pof0': 0.1111111111111111, 'pof1': 0.7777777777777778, 'pof0.5': 0.1111111111111111, 'section': '4.22'}","{'s/n': 0.8181818181818182, 'n': 11, '#of0': 2, '#of1': 9, '#of0.5': 0, 'pof0': 0.18181818181818182, 'pof1': 0.8181818181818182, 'pof0.5': 0.0, 'section': '4.22'}","{'s/n': 0.8888888888888888, 'n': 9, '#of0': 0, '#of1': 7, '#of0.5': 2, 'pof0': 0.0, 'pof1': 0.7777777777777778, 'pof0.5': 0.2222222222222222, 'section': '4.22'}"
23,"{'s/n': 1.0, 'n': 5, '#of0': 0, '#of1': 5, '#of0.5': 0, 'pof0': 0.0, 'pof1': 1.0, 'pof0.5': 0.0, 'section': '4.23.2'}","{'s/n': 0.5, 'n': 6, '#of0': 3, '#of1': 3, '#of0.5': 0, 'pof0': 0.5, 'pof1': 0.5, 'pof0.5': 0.0, 'section': '4.23.2'}","{'s/n': 0.75, 'n': 8, '#of0': 2, '#of1': 6, '#of0.5': 0, 'pof0': 0.25, 'pof1': 0.75, 'pof0.5': 0.0, 'section': '4.23.2'}"
24,"{'s/n': 1.0, 'n': 5, '#of0': 0, '#of1': 5, '#of0.5': 0, 'pof0': 0.0, 'pof1': 1.0, 'pof0.5': 0.0, 'section': '4.23.4'}","{'s/n': 1.0, 'n': 6, '#of0': 0, '#of1': 6, '#of0.5': 0, 'pof0': 0.0, 'pof1': 1.0, 'pof0.5': 0.0, 'section': '4.23.4'}","{'s/n': 0.75, 'n': 8, '#of0': 2, '#of1': 6, '#of0.5': 0, 'pof0': 0.25, 'pof1': 0.75, 'pof0.5': 0.0, 'section': '4.23.4'}"
25,"{'s/n': 0.0, 'n': 3, '#of0': 3, '#of1': 0, '#of0.5': 0, 'pof0': 1.0, 'pof1': 0.0, 'pof0.5': 0.0, 'section': '4.23.5'}","{'s/n': 0.0, 'n': 4, '#of0': 4, '#of1': 0, '#of0.5': 0, 'pof0': 1.0, 'pof1': 0.0, 'pof0.5': 0.0, 'section': '4.23.5'}","{'s/n': 0.0, 'n': 9, '#of0': 9, '#of1': 0, '#of0.5': 0, 'pof0': 1.0, 'pof1': 0.0, 'pof0.5': 0.0, 'section': '4.23.5'}"
26,"{'s/n': 1.0, 'n': 6, '#of0': 0, '#of1': 6, '#of0.5': 0, 'pof0': 0.0, 'pof1': 1.0, 'pof0.5': 0.0, 'section': '4.23.6'}","{'s/n': 0.9285714285714286, 'n': 7, '#of0': 0, '#of1': 6, '#of0.5': 1, 'pof0': 0.0, 'pof1': 0.8571428571428571, 'pof0.5': 0.14285714285714285, 'section': '4.23.6'}","{'s/n': 1.0, 'n': 7, '#of0': 0, '#of1': 7, '#of0.5': 0, 'pof0': 0.0, 'pof1': 1.0, 'pof0.5': 0.0, 'section': '4.23.6'}"
27,"{'s/n': 1.0, 'n': 3, '#of0': 0, '#of1': 3, '#of0.5': 0, 'pof0': 0.0, 'pof1': 1.0, 'pof0.5': 0.0, 'section': '4.23.7'}","{'s/n': 1.0, 'n': 5, '#of0': 0, '#of1': 5, '#of0.5': 0, 'pof0': 0.0, 'pof1': 1.0, 'pof0.5': 0.0, 'section': '4.23.7'}","{'s/n': 0.75, 'n': 8, '#of0': 2, '#of1': 6, '#of0.5': 0, 'pof0': 0.25, 'pof1': 0.75, 'pof0.5': 0.0, 'section': '4.23.7'}"
28,"{'s/n': 0.6, 'n': 5, '#of0': 2, '#of1': 3, '#of0.5': 0, 'pof0': 0.4, 'pof1': 0.6, 'pof0.5': 0.0, 'section': '4.23.9'}","{'s/n': 0.2, 'n': 5, '#of0': 4, '#of1': 1, '#of0.5': 0, 'pof0': 0.8, 'pof1': 0.2, 'pof0.5': 0.0, 'section': '4.23.9'}","{'s/n': 0.0, 'n': 13, '#of0': 13, '#of1': 0, '#of0.5': 0, 'pof0': 1.0, 'pof1': 0.0, 'pof0.5': 0.0, 'section': '4.23.9'}"
29,"{'s/n': 1.0, 'n': 3, '#of0': 0, '#of1': 3, '#of0.5': 0, 'pof0': 0.0, 'pof1': 1.0, 'pof0.5': 0.0, 'section': '4.23.10'}","{'s/n': 0.25, 'n': 4, '#of0': 3, '#of1': 1, '#of0.5': 0, 'pof0': 0.75, 'pof1': 0.25, 'pof0.5': 0.0, 'section': '4.23.10'}","{'s/n': 0.7142857142857143, 'n': 7, '#of0': 2, '#of1': 5, '#of0.5': 0, 'pof0': 0.2857142857142857, 'pof1': 0.7142857142857143, 'pof0.5': 0.0, 'section': '4.23.10'}"
30,"{'s/n': 0.25, 'n': 2, '#of0': 1, '#of1': 0, '#of0.5': 1, 'pof0': 0.5, 'pof1': 0.0, 'pof0.5': 0.5, 'section': '4.23.11'}","{'s/n': 0.0, 'n': 4, '#of0': 4, '#of1': 0, '#of0.5': 0, 'pof0': 1.0, 'pof1': 0.0, 'pof0.5': 0.0, 'section': '4.23.11'}","{'s/n': 0.0, 'n': 8, '#of0': 8, '#of1': 0, '#of0.5': 0, 'pof0': 1.0, 'pof1': 0.0, 'pof0.5': 0.0, 'section': '4.23.11'}"
31,"{'s/n': 1.0, 'n': 4, '#of0': 0, '#of1': 4, '#of0.5': 0, 'pof0': 0.0, 'pof1': 1.0, 'pof0.5': 0.0, 'section': '4.23.13'}","{'s/n': 1.0, 'n': 3, '#of0': 0, '#of1': 3, '#of0.5': 0, 'pof0': 0.0, 'pof1': 1.0, 'pof0.5': 0.0, 'section': '4.23.13'}","{'s/n': 0.42857142857142855, 'n': 7, '#of0': 4, '#of1': 3, '#of0.5': 0, 'pof0': 0.5714285714285714, 'pof1': 0.42857142857142855, 'pof0.5': 0.0, 'section': '4.23.13'}"
32,"{'s/n': 0.32653061224489793, 'n': 49, '#of0': 27, '#of1': 10, '#of0.5': 12, 'pof0': 0.5510204081632653, 'pof1': 0.20408163265306123, 'pof0.5': 0.24489795918367346, 'section': '6'}","{'s/n': 0.23015873015873015, 'n': 63, '#of0': 47, '#of1': 13, '#of0.5': 3, 'pof0': 0.746031746031746, 'pof1': 0.20634920634920634, 'pof0.5': 0.047619047619047616, 'section': '6'}","{'s/n': 0.005434782608695652, 'n': 92, '#of0': 91, '#of1': 0, '#of0.5': 1, 'pof0': 0.9891304347826086, 'pof1': 0.0, 'pof0.5': 0.010869565217391304, 'section': '6'}"
33,"{'s/n': 0.0, 'n': 41, '#of0': 41, '#of1': 0, '#of0.5': 0, 'pof0': 1.0, 'pof1': 0.0, 'pof0.5': 0.0, 'section': '7'}","{'s/n': 0.1935483870967742, 'n': 62, '#of0': 48, '#of1': 10, '#of0.5': 4, 'pof0': 0.7741935483870968, 'pof1': 0.16129032258064516, 'pof0.5': 0.06451612903225806, 'section': '7'}","{'s/n': 0.25, 'n': 72, '#of0': 53, '#of1': 17, '#of0.5': 2, 'pof0': 0.7361111111111112, 'pof1': 0.2361111111111111, 'pof0.5': 0.027777777777777776, 'section': '7'}"
34,"{'s/n': 0.1896551724137931, 'n': 58, '#of0': 47, '#of1': 11, '#of0.5': 0, 'pof0': 0.8103448275862069, 'pof1': 0.1896551724137931, 'pof0.5': 0.0, 'section': '8.1'}","{'s/n': 0.07547169811320754, 'n': 53, '#of0': 49, '#of1': 4, '#of0.5': 0, 'pof0': 0.9245283018867925, 'pof1': 0.07547169811320754, 'pof0.5': 0.0, 'section': '8.1'}","{'s/n': 0.5256410256410257, 'n': 39, '#of0': 18, '#of1': 20, '#of0.5': 1, 'pof0': 0.46153846153846156, 'pof1': 0.5128205128205128, 'pof0.5': 0.02564102564102564, 'section': '8.1'}"
35,"{'s/n': 0.8888888888888888, 'n': 9, '#of0': 1, '#of1': 8, '#of0.5': 0, 'pof0': 0.1111111111111111, 'pof1': 0.8888888888888888, 'pof0.5': 0.0, 'section': '8.3'}","{'s/n': 0.0, 'n': 5, '#of0': 5, '#of1': 0, '#of0.5': 0, 'pof0': 1.0, 'pof1': 0.0, 'pof0.5': 0.0, 'section': '8.3'}","{'s/n': 0.7777777777777778, 'n': 9, '#of0': 2, '#of1': 7, '#of0.5': 0, 'pof0': 0.2222222222222222, 'pof1': 0.7777777777777778, 'pof0.5': 0.0, 'section': '8.3'}"
36,"{'s/n': 0.5416666666666666, 'n': 24, '#of0': 11, '#of1': 13, '#of0.5': 0, 'pof0': 0.4583333333333333, 'pof1': 0.5416666666666666, 'pof0.5': 0.0, 'section': '8.4'}","{'s/n': 0.2727272727272727, 'n': 44, '#of0': 26, '#of1': 6, '#of0.5': 12, 'pof0': 0.5909090909090909, 'pof1': 0.13636363636363635, 'pof0.5': 0.2727272727272727, 'section': '8.4'}","{'s/n': 0.21323529411764705, 'n': 68, '#of0': 53, '#of1': 14, '#of0.5': 1, 'pof0': 0.7794117647058824, 'pof1': 0.20588235294117646, 'pof0.5': 0.014705882352941176, 'section': '8.4'}"
